Tempo_Decorrido_em_Dias,Indice_de_Desperdicio,Preço_unidade,Numero_Incial_de_Lazies,Numero_Inicial_de_Normals,Numero_Incial_de_Renders,Tipo_de_Cliente,Tempo_Maximo_de_Espera,Tempo_de_Espera,Quantidade_Encomendada,Recebida
59.0,0.07,2.0,0,2,0,PATIENT,16000,4123,209,sim
63.0,0.07,2.0,0,2,0,NOPATIENT,22000,7591,573,sim
64.0,0.07,2.0,0,2,0,PATIENT,55000,48330,747,sim
70.0,0.07,2.0,0,2,0,NORMAL,36000,15167,688,sim
70.0,0.07,2.0,0,2,0,NORMAL,34000,15178,661,sim
70.0,0.07,2.0,0,2,0,PATIENT,70000,70006,942,nao
70.0,0.07,2.0,0,2,0,PATIENT,70000,70004,949,nao
79.0,0.07,2.0,0,2,0,PATIENT,52000,24216,704,sim
82.0,0.07,2.0,0,2,0,NORMAL,40000,26353,772,sim
82.0,0.07,2.0,0,2,0,NORMAL,49000,27129,951,sim
82.0,0.07,2.0,0,2,0,PATIENT,37000,27143,493,sim
86.0,0.07,2.0,0,2,0,PATIENT,71000,71005,960,nao
99.0,0.07,2.0,0,2,0,NORMAL,44000,44003,852,nao
110.0,0.07,2.0,0,2,0,NOPATIENT,11000,14548,291,nao
112.0,0.07,2.0,0,2,0,PATIENT,69000,56390,931,sim
116.0,0.07,2.0,0,2,0,NOPATIENT,18000,20428,476,nao
4.0,0.07,2.0,2,0,0,NORMAL,10000,3261,177,sim
4.0,0.07,2.0,2,0,0,PATIENT,9000,3310,112,sim
5.0,0.07,2.0,2,0,0,NORMAL,13000,4512,239,sim
7.0,0.07,2.0,2,0,0,NOPATIENT,9000,6323,219,sim
7.0,0.07,2.0,2,0,0,PATIENT,21000,7167,285,sim
8.0,0.07,2.0,2,0,0,NOPATIENT,9000,7703,215,sim
9.0,0.07,2.0,2,0,0,NORMAL,9000,8323,176,sim
10.0,0.07,2.0,2,0,0,NORMAL,17000,9517,318,sim
13.0,0.07,2.0,2,0,0,NORMAL,24000,12246,451,sim
14.0,0.07,2.0,2,0,0,PATIENT,16000,13325,210,sim
16.0,0.07,2.0,2,0,0,PATIENT,32000,15519,424,sim
18.0,0.07,2.0,2,0,0,PATIENT,34000,18103,454,sim
20.0,0.07,2.0,2,0,0,NOPATIENT,21000,19728,555,sim
20.0,0.07,2.0,2,0,0,NOPATIENT,8000,5091,194,sim
21.0,0.07,2.0,2,0,0,PATIENT,13000,6158,172,sim
23.0,0.07,2.0,2,0,0,PATIENT,16000,8038,212,sim
24.0,0.07,2.0,2,0,0,NORMAL,14000,9060,259,sim
24.0,0.07,2.0,2,0,0,NORMAL,12000,9066,233,sim
25.0,0.07,2.0,2,0,0,NOPATIENT,34000,24351,880,sim
27.0,0.07,2.0,2,0,0,NORMAL,18000,12154,341,sim
29.0,0.07,2.0,2,0,0,NOPATIENT,36000,28526,949,sim
32.0,0.07,2.0,2,0,0,NOPATIENT,28000,17135,730,sim
33.0,0.07,2.0,2,0,0,NOPATIENT,33000,33006,856,nao
35.0,0.07,2.0,2,0,0,PATIENT,58000,34697,783,sim
36.0,0.07,2.0,2,0,0,NORMAL,42000,35281,809,sim
37.0,0.07,2.0,2,0,0,PATIENT,44000,36526,588,sim
37.0,0.07,2.0,2,0,0,NORMAL,42000,37127,805,sim
41.0,0.07,2.0,2,0,0,PATIENT,44000,40673,599,sim
43.0,0.07,2.0,2,0,0,PATIENT,34000,27664,458,sim
44.0,0.07,2.0,2,0,0,NOPATIENT,38000,29147,996,sim
46.0,0.07,2.0,2,0,0,PATIENT,52000,45271,697,sim
53.0,0.07,2.0,2,0,0,NORMAL,44000,37573,860,sim
54.0,0.07,2.0,2,0,0,NORMAL,45000,39075,869,sim
54.0,0.07,2.0,2,0,0,PATIENT,54000,54003,734,nao
56.0,0.07,2.0,2,0,0,PATIENT,60000,56204,809,sim
57.0,0.07,2.0,2,0,0,PATIENT,71000,42078,968,sim
61.0,0.07,2.0,2,0,0,NOPATIENT,16000,5700,417,sim
62.0,0.07,2.0,2,0,0,PATIENT,17000,7147,220,sim
65.0,0.07,2.0,2,0,0,NOPATIENT,28000,9500,728,sim
65.0,0.07,2.0,2,0,0,NORMAL,22000,9601,422,sim
67.0,0.07,2.0,2,0,0,PATIENT,67000,66591,904,sim
69.0,0.07,2.0,2,0,0,NORMAL,14000,14005,271,nao
73.0,0.07,2.0,2,0,0,NOPATIENT,35000,17705,911,sim
74.0,0.07,2.0,2,0,0,NORMAL,20000,18596,380,sim
74.0,0.07,2.0,2,0,0,NORMAL,43000,19183,828,sim
75.0,0.07,2.0,2,0,0,NORMAL,41000,20295,793,sim
81.0,0.07,2.0,2,0,0,NORMAL,28000,26157,533,sim
84.0,0.07,2.0,2,0,0,PATIENT,61000,28822,827,sim
87.0,0.07,2.0,2,0,0,NORMAL,32000,32003,617,nao
96.0,0.07,2.0,2,0,0,NORMAL,41000,41003,784,nao
104.0,0.07,2.0,2,0,0,NOPATIENT,4000,8598,102,nao
110.0,0.07,2.0,2,0,0,PATIENT,12000,15384,159,nao
111.0,0.07,2.0,2,0,0,NORMAL,13000,15923,240,nao
3.0,0.07,2.0,0,1,1,NOPATIENT,9000,3235,229,sim
4.0,0.07,2.0,0,1,1,NORMAL,10000,3453,180,sim
5.0,0.07,2.0,0,1,1,NOPATIENT,12000,4372,302,sim
9.0,0.07,2.0,0,1,1,NOPATIENT,25000,8681,656,sim
10.0,0.07,2.0,0,1,1,NOPATIENT,13000,9363,335,sim
11.0,0.07,2.0,0,1,1,NORMAL,38000,10335,736,sim
11.0,0.07,2.0,0,1,1,NOPATIENT,22000,11234,560,sim
12.0,0.07,2.0,0,1,1,NOPATIENT,22000,11462,570,sim
12.0,0.07,2.0,0,1,1,NORMAL,26000,11685,490,sim
15.0,0.07,2.0,0,1,1,PATIENT,19000,14337,257,sim
16.0,0.07,2.0,0,1,1,NOPATIENT,19000,15690,498,sim
16.0,0.07,2.0,0,1,1,NOPATIENT,16000,16005,422,nao
18.0,0.07,2.0,0,1,1,NOPATIENT,4000,3072,101,sim
21.0,0.07,2.0,0,1,1,NOPATIENT,32000,20375,823,sim
21.0,0.07,2.0,0,1,1,NOPATIENT,27000,21244,701,sim
22.0,0.07,2.0,0,1,1,NORMAL,8000,7057,145,sim
23.0,0.07,2.0,0,1,1,NORMAL,16000,8054,311,sim
24.0,0.07,2.0,0,1,1,NOPATIENT,24000,24004,618,nao
25.0,0.07,2.0,0,1,1,NOPATIENT,27000,24333,712,sim
25.0,0.07,2.0,0,1,1,PATIENT,40000,24694,545,sim
26.0,0.07,2.0,0,1,1,PATIENT,25000,10488,329,sim
26.0,0.07,2.0,0,1,1,NORMAL,37000,10589,705,sim
31.0,0.07,2.0,0,1,1,NORMAL,37000,31254,716,sim
33.0,0.07,2.0,0,1,1,NORMAL,25000,17481,473,sim
35.0,0.07,2.0,0,1,1,NOPATIENT,25000,19591,652,sim
37.0,0.07,2.0,0,1,1,NOPATIENT,37000,36714,954,sim
37.0,0.07,2.0,0,1,1,NOPATIENT,37000,37005,957,nao
40.0,0.07,2.0,0,1,1,NORMAL,36000,25048,689,sim
42.0,0.07,2.0,0,1,1,NORMAL,33000,26480,636,sim
43.0,0.07,2.0,0,1,1,PATIENT,56000,42703,762,sim
43.0,0.07,2.0,0,1,1,NORMAL,45000,43222,865,sim
47.0,0.07,2.0,0,1,1,PATIENT,53000,46663,714,sim
50.0,0.07,2.0,0,1,1,NORMAL,51000,49351,991,sim
51.0,0.07,2.0,0,1,1,PATIENT,43000,36327,584,sim
56.0,0.07,2.0,0,1,1,PATIENT,49000,41071,663,sim
57.0,0.07,2.0,0,1,1,NOPATIENT,5000,1521,106,sim
58.0,0.07,2.0,0,1,1,PATIENT,58000,57677,790,sim
59.0,0.07,2.0,0,1,1,NOPATIENT,14000,4354,360,sim
63.0,0.07,2.0,0,1,1,NOPATIENT,18000,7526,462,sim
63.0,0.07,2.0,0,1,1,PATIENT,27000,8123,361,sim
64.0,0.07,2.0,0,1,1,NOPATIENT,26000,8641,673,sim
66.0,0.07,2.0,0,1,1,NOPATIENT,21000,10753,552,sim
66.0,0.07,2.0,0,1,1,NOPATIENT,21000,11346,532,sim
68.0,0.07,2.0,0,1,1,NOPATIENT,38000,12487,998,sim
69.0,0.07,2.0,0,1,1,PATIENT,41000,14126,558,sim
71.0,0.07,2.0,0,1,1,NORMAL,20000,16330,385,sim
72.0,0.07,2.0,0,1,1,NOPATIENT,22000,16619,566,sim
73.0,0.07,2.0,0,1,1,NOPATIENT,29000,17527,748,sim
77.0,0.07,2.0,0,1,1,NORMAL,47000,21815,910,sim
85.0,0.07,2.0,0,1,1,PATIENT,67000,30130,911,sim
90.0,0.07,2.0,0,1,1,PATIENT,64000,35133,863,sim
94.0,0.07,2.0,0,1,1,PATIENT,53000,38834,716,sim
96.0,0.07,2.0,0,1,1,NOPATIENT,5000,1422,111,sim
97.0,0.07,2.0,0,1,1,PATIENT,10000,1806,129,sim
99.0,0.07,2.0,0,1,1,PATIENT,9000,3395,118,sim
100.0,0.07,2.0,0,1,1,NOPATIENT,13000,4608,341,sim
102.0,0.07,2.0,0,1,1,NOPATIENT,21000,6537,537,sim
103.0,0.07,2.0,0,1,1,NORMAL,12000,7385,233,sim
